x1,x2,x3,x4,x5,x6
1.0,1.4879795115691956,2.3188209117183147,3.767801584239162,6.357673520256631,11.10034118377051
1.0,1.4889795115691955,2.321796870741453,3.7747580469743167,6.372744726593587,11.132129551371793
1.0,1.4899795115691954,2.3247748297645914,3.781723437586541,6.387843758781484,11.163993275004762
1.0,1.4909795115691953,2.32775478878773,3.788697762075835,6.40297065253183,11.195932493798669
1.0,1.4919795115691952,2.3307367478108683,3.795681026442198,6.418125443580133,11.227947347061328
1.0,1.492979511569195,2.3337207068340065,3.8026732366856306,6.433308167685902,11.260037974279228
1.0,1.493979511569195,2.336706665857145,3.809674398806133,6.448518860632644,11.292204515117659
1.0,1.4949795115691948,2.3396946248802832,3.8166845188037044,6.463757558227869,11.324447109420822
1.0,1.4959795115691947,2.342684583903422,3.823703602678345,6.479024296303083,11.356765897211961
1.0,1.4969795115691946,2.3456765429265602,3.8307316564300553,6.494319110713796,11.389161018693477
1.0,1.4979795115691945,2.3486705019496985,3.837768686058835,6.509642037339517,11.421632614247045
1.0,1.4989795115691944,2.351666460972837,3.844814697564684,6.524993112083752,11.454180824433742
1.0,1.4999795115691943,2.3546644199959754,3.8518696969476025,6.540372370874011,11.486805789994161
1.0,1.5009795115691942,2.3576643790191136,3.8589336902075906,6.555779849661802,11.519507651848532
1.0,1.501979511569194,2.360666338042252,3.866006683344648,6.571215584422632,11.55228655109684
1.0,1.502979511569194,2.3636702970653904,3.873088682358775,6.58667961115601,11.585142629018954
1.0,1.5039795115691938,2.366676256088529,3.8801796932499713,6.602171965885446,11.618076027074734
1.0,1.5049795115691937,2.3696842151116675,3.8872797220182367,6.617692684658445,11.651086886904162
1.0,1.5059795115691936,2.3726941741348058,3.8943887746635717,6.633241803546518,11.684175350327454
1.0,1.5069795115691935,2.3757061331579443,3.901506857185976,6.648819358645173,11.717341559345186
1.0,1.5079795115691934,2.3787200921810827,3.90863397558545,6.664425386073916,11.750585656138412
1.0,1.5089795115691933,2.381736051204221,3.915770135861993,6.680059921976258,11.783907783068782
1.0,1.5099795115691932,2.3847540102273594,3.9229153440156055,6.695723002519706,11.817308082678665
1.0,1.510979511569193,2.387773969250498,3.9300696060462874,6.711414663895769,11.850786697691262
1.0,1.511979511569193,2.390795928273636,3.937232927954039,6.727134942319954,11.884343771010741
1.0,1.5129795115691929,2.3938198872967744,3.9444053157388597,6.7428838740317705,11.91797944572234
1.0,1.5139795115691927,2.3968458463199127,3.95158677540075,6.758661495294726,11.9516938650925
1.0,1.5149795115691926,2.3998738053430513,3.9587773129397097,6.774467842396329,11.985487172568973
1.0,1.5159795115691925,2.4029037643661897,3.965976934355739,6.790302951648088,12.019359511780955
1.0,1.5169795115691924,2.405935723389328,3.9731856456488375,6.8061668593855105,12.053311026539195
1.0,1.5179795115691923,2.4089696824124665,3.9804034528190053,6.822059601968106,12.087341860836123
1.0,1.5189795115691922,2.412005641435605,3.9876303618662425,6.837981215779382,12.121452158845964
1.0,1.519979511569192,2.415043600458743,3.994866378790549,6.853931737226847,12.15564206492486
1.0,1.520979511569192,2.4180835594818815,4.002111509591925,6.869911202742009,12.189911723610996
1.0,1.5219795115691919,2.42112551850502,4.009365760270371,6.885919648780376,12.224261279624706
