x1,x2,x3,x4,x5,x6
1.0,9.18797951156925,84.52430038988479,778.5488797211833,7180.1561218295865,66301.95827395566
1.0,9.188979511569249,84.54267734890792,778.8024801872914,7183.270824531024,66337.86684089889
1.0,9.18997951156925,84.56105630793108,779.0561357872771,7186.386541744599,66373.79098389186
1.0,9.19097951156925,84.5794372669542,779.309846527139,7189.503273690844,66409.73070800756
1.0,9.191979511569249,84.59782022597733,779.5636124128783,7192.62102059034,66445.68601832031
1.0,9.19297951156925,84.6162051850005,779.8174334504952,7195.739782663685,66481.65691990544
1.0,9.19397951156925,84.63459214402363,780.0713096459887,7198.85956013149,66517.6434178393
1.0,9.19497951156925,84.65298110304676,780.3252410053592,7201.980353214401,66553.64551719942
1.0,9.19597951156925,84.6713720620699,780.579227534607,7205.102162133096,66589.66322306453
1.0,9.19697951156925,84.68976502109304,780.8332692397316,7208.224987108249,66625.6965405142
1.0,9.19797951156925,84.70815998011616,781.0873661267333,7211.348828360585,66661.74547462937
1.0,9.198979511569249,84.7265569391393,781.3415182016121,7214.473686110843,66697.81003049194
1.0,9.19997951156925,84.74495589816246,781.5957254703683,7217.599560579791,66733.890213185
1.0,9.20097951156925,84.76335685718558,781.8499879390013,7220.726451988207,66769.98602779266
1.0,9.201979511569249,84.78175981620872,782.1043056135112,7223.854360556908,66806.09747940014
1.0,9.20297951156925,84.80016477523188,782.3586784998988,7226.983286506734,66842.22457309389
1.0,9.20397951156925,84.818571734255,782.6131066041627,7230.113230058533,66878.36731396122
1.0,9.204979511569249,84.83698069327812,782.8675899323039,7233.244191433195,66914.5257070908
1.0,9.20597951156925,84.8553916523013,783.1221284903226,7236.376170851634,66950.69975757232
1.0,9.20697951156925,84.87380461132442,783.3767222842179,7239.509168534769,66986.88947049643
1.0,9.207979511569249,84.89221957034755,783.6313713199903,7242.64318470356,67023.09485095512
1.0,9.20897951156925,84.9106365293707,783.8860756036402,7245.778219578994,67059.31590404136
1.0,9.20997951156925,84.92905548839383,784.1408351411666,7248.914273382063,67095.55263484914
1.0,9.21097951156925,84.94747644741696,784.39564993857,7252.051346333799,67131.8050484737
1.0,9.21197951156925,84.96589940644012,784.6505200018512,7255.18943865526,67168.07315001145
1.0,9.21297951156925,84.98432436546325,784.9054453370089,7258.328550567511,67204.35694455962
1.0,9.21397951156925,85.00275132448638,785.1604259500439,7261.468682291657,67240.65643721676
1.0,9.214979511569249,85.02118028350951,785.4154618469556,7264.609834048821,67276.97163308255
1.0,9.21597951156925,85.03961124253267,785.6705530337451,7267.7520060601555,67313.3025372577
1.0,9.21697951156925,85.05804420155579,785.9256995164109,7270.89519854682,67349.64915484395
1.0,9.217979511569249,85.07647916057893,786.1809013009541,7274.039411730018,67386.01149094428
1.0,9.21897951156925,85.09491611960208,786.4361583933745,7277.184645830975,67422.38955066282
1.0,9.21997951156925,85.1133550786252,786.6914707996718,7280.330901070918,67458.78333910453
1.0,9.220979511569249,85.13179603764834,786.9468385258461,7283.478177671128,67495.19286137573
1.0,9.22197951156925,85.1502389966715,787.202261577898,7286.626475852897,67531.6181225839
